Ubicación,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
DRUG STORE,16,2014.125,2012,2016,2.250000000000038,1.5000000000000127,2014,-1.2255596255596255,16,5.9375,1,12,10.595833333333333,3.2551241655785317,Agosto,-1.0407426050500446,16,16.6875,4,29,60.09583333333333,7.752150239342201,18,-0.8829865561133876,16,11.625,1,19,33.583333333333336,5.795112883571237,15,-0.9039007541602841,16,
FACTORY/MANUFACTURING BUILDING,9,2013.6666666666667,2012,2016,2.749999999999933,1.6583123951776797,2012,-1.5253837072020326,9,6.555555555555555,1,11,11.027777777777779,3.320809807528546,Septiembre,-0.9316980629278793,9,13.666666666666666,4,22,39.25000000000001,6.264982043070835,18,-1.266397361817054,9,15.11111111111111,7,23,29.61111111111112,5.441609239104837,16,-0.8955634124718466,9,
FEDERAL BUILDING,1,2015.0,2015,2015,,,No hay moda,,1,6.0,6,6,,,,,1,22.0,22,22,,,No hay moda,,1,12.0,12,12,,,No hay moda,,1,
FIRE STATION,1,2013.0,2013,2013,,,No hay moda,,1,6.0,6,6,,,,,1,16.0,16,16,,,No hay moda,,1,7.0,7,7,,,No hay moda,,1,
GAS STATION,69,2014.1739130434783,2012,2016,2.0869565217391997,1.4446302370292543,2016,-1.3346148394059159,69,6.217391304347826,1,12,10.84910485933504,3.293797938449631,Junio,-0.9205543350889789,69,14.971014492753623,1,31,90.44032395566926,9.510011774738729,3,-1.3822819704546538,69,12.028985507246377,0,23,59.76385336743394,7.730708464780827,19,-1.377506732617545,69,
GOVERNMENT BUILDING,1,2014.0,2014,2014,,,No hay moda,,1,10.0,10,10,,,,,1,13.0,13,13,,,No hay moda,,1,6.0,6,6,,,No hay moda,,1,
GOVERNMENT BUILDING/PROPERTY,19,2013.6315789473683,2012,2016,2.0233918128655293,1.4224597754824315,2012,-0.9628544909224726,19,6.7894736842105265,1,12,12.50877192982456,3.5367742265833932,Octubre,-1.252245560861129,19,15.368421052631579,1,31,99.0233918128655,9.95104978446322,4,-1.5123992090471643,19,12.210526315789474,5,22,24.397660818713447,4.939398831711553,10,-0.5808280127059162,19,
GROCERY FOOD STORE,73,2014.0,2012,2016,2.000000000000064,1.4142135623731176,2013,-1.3176391683433937,73,6.2465753424657535,1,12,11.216133942161342,3.3490497073291317,Junio,-1.0795174393920908,73,16.246575342465754,1,30,76.27168949771689,8.733366447007528,5,-1.2815652112346605,73,14.273972602739725,0,23,29.28500761035008,5.411562400116077,19,0.4730314079437683,73,
HIGHWAY/EXPRESSWAY,2,2014.5,2013,2016,4.5,2.1213203435596424,No hay moda,,2,7.0,4,10,18.0,4.242640687119285,,,2,27.5,25,30,12.5,3.5355339059327378,No hay moda,,2,17.5,12,23,60.5,7.7781745930520225,No hay moda,,2,
HOSPITAL BUILDING/GROUNDS,31,2014.0,2012,2016,2.3333333333332944,1.5275252316519339,2016,-1.4552126269226902,31,6.161290322580645,1,12,10.939784946236559,3.307534572190676,Abril,-1.0152203575311396,31,15.03225806451613,2,29,74.56559139784946,8.63513702252891,7,-1.199919291348301,31,12.548387096774194,1,23,43.7225806451613,6.612305244403142,14,-0.8257076679085538,31,
